date,net_sales_total,net_order_entry_total,mitarbeiter_vertrieb,mitarbeiter_service,mitarbeiter_total,EU_INDU,EU_SERV,EU_CONS,EU_RETA,EU_BUIL,EU_ESI,EU_EEI,INDU_EU_TOT_COF_BS_M,INDU_EU_TOT_1_BS_M,INDU_EU_TOT_2_BS_M,INDU_EU_TOT_3_BS_M,INDU_EU_TOT_4_BS_M,INDU_EU_TOT_5_BS_M,INDU_EU_TOT_6_BS_M,INDU_EU_TOT_7_BS_M,BCI_Euro_Area
2014-01-31,9914.85,13197.85,94,178,272,-3.1,4.7,-12.1,-3.0,-25.3,98.4,96.3,-3.1,3.6,-16.7,-13.6,3.3,10.6,2.0,-3.2,0.18
2014-02-28,8793.66,11632.08,96,178,274,-3.0,4.6,-11.9,-1.8,-24.9,98.7,96.4,-3.0,4.9,-16.0,-13.4,3.5,10.6,1.2,-3.8,0.21
2014-03-31,12689.12,14404.37,97,179,276,-2.7,6.1,-10.8,-1.4,-24.6,99.7,98.1,-2.7,6.1,-15.5,-12.7,3.7,11.3,0.4,-3.0,0.25
2014-04-30,12420.6,11512.26,97,180,277,-2.4,5.8,-11.0,-1.4,-25.4,99.3,98.2,-2.4,4.3,-13.6,-13.6,4.3,10.5,0.4,-2.5,0.22
2014-05-31,11825.02,11875.16,99,178,277,-3.3,5.4,-10.4,-1.9,-25.2,99.1,97.0,-3.3,4.4,-14.4,-14.2,4.1,8.8,0.1,-2.9,0.17
2014-06-30,11675.38,12004.93,99,179,278,-4.3,6.2,-10.4,-1.4,-26.3,98.8,97.3,-4.3,3.2,-15.5,-15.6,4.8,7.3,-0.3,-3.3,0.06
2014-07-31,14701.67,15251.05,100,177,277,-3.7,5.7,-10.3,-2.0,-24.7,98.6,95.9,-3.7,0.2,-14.5,-15.6,5.5,8.7,0.2,-3.3,0.07
2014-08-31,11919.3,13518.36,101,178,279,-4.5,5.6,-11.5,-4.1,-24.5,97.9,96.0,-4.5,3.8,-14.7,-14.0,5.2,6.5,-0.6,-3.4,0.15
2014-09-30,13890.89,12832.09,102,180,282,-5.0,5.0,-12.0,-6.0,-24.0,97.0,96.7,-5.0,0.7,-15.5,-15.8,6.2,6.5,-2.4,-3.5,0.0
2014-10-31,14477.32,14727.83,101,181,282,-4.8,5.3,-11.3,-5.6,-23.3,97.7,95.8,-4.8,0.7,-15.9,-16.6,6.4,7.7,-1.5,-4.2,-0.01
2014-11-30,14819.63,14190.36,102,183,285,-3.9,5.3,-11.4,-5.1,-24.0,98.0,96.0,-3.9,2.7,-14.5,-14.8,5.7,8.5,-3.7,-4.8,0.13
2014-12-31,23872.21,14991.07,102,183,285,-4.7,6.6,-10.7,-3.8,-24.0,98.2,97.4,-4.7,0.4,-15.3,-15.0,6.9,8.2,-6.0,-3.7,0.08
2015-01-31,9376.13,13883.13,101,184,285,-4.0,6.7,-9.4,-2.2,-24.0,99.2,97.3,-4.0,3.1,-15.0,-15.1,6.3,9.3,-6.8,-2.3,0.12
2015-02-28,11185.34,12876.21,101,185,286,-3.0,6.9,-7.3,-0.1,-23.7,101.0,99.6,-3.0,2.9,-14.4,-14.5,5.0,10.3,-4.7,-1.2,0.17
2015-03-31,12123.33,15380.95,102,187,289,-1.7,8.1,-6.1,1.0,-22.6,102.6,102.1,-1.7,3.7,-12.3,-11.8,4.8,11.8,-3.2,0.3,0.39
2015-04-30,11962.38,12364.62,102,189,291,-2.0,8.5,-6.3,2.3,-22.9,102.5,100.9,-2.0,6.4,-11.4,-11.5,5.0,10.3,-1.0,0.4,0.44
2015-05-31,12241.16,11005.48,102,191,293,-2.0,9.1,-7.1,2.4,-22.8,102.4,101.7,-2.0,5.3,-11.6,-11.1,5.2,10.8,0.6,0.5,0.4
2015-06-30,14920.98,14080.65,103,192,295,-2.1,9.8,-7.6,1.3,-21.7,102.4,101.7,-2.1,2.1,-10.9,-10.9,5.1,9.8,0.0,-0.3,0.37
2015-07-31,12897.38,15901.97,104,194,298,-1.9,10.0,-8.5,3.0,-20.7,102.5,102.0,-1.9,5.9,-11.0,-11.3,5.2,10.6,0.3,-0.7,0.43
2015-08-31,11800.12,13078.3,103,193,296,-2.2,11.4,-7.7,4.8,-20.0,102.9,102.6,-2.2,5.1,-10.1,-11.5,6.3,9.9,-0.8,-1.1,0.41
2015-09-30,14484.11,13887.37,104,194,298,-1.6,12.3,-7.7,4.2,-19.4,103.9,102.9,-1.6,4.8,-11.2,-12.4,5.8,12.3,-3.1,0.0,0.35
